------------------------------------------------------
    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|---------------------------------------------------------------:|-----------------------------------------:|------------:|-------:|
|                     Cumulative indexing time of primary shards |                                          |     2832.24 |    min |
|             Min cumulative indexing time across primary shards |                                          |     2832.24 |    min |
|          Median cumulative indexing time across primary shards |                                          |     2832.24 |    min |
|             Max cumulative indexing time across primary shards |                                          |     2832.24 |    min |
|            Cumulative indexing throttle time of primary shards |                                          |           0 |    min |
|    Min cumulative indexing throttle time across primary shards |                                          |           0 |    min |
| Median cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|    Max cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|                        Cumulative merge time of primary shards |                                          |     271.273 |    min |
|                       Cumulative merge count of primary shards |                                          |         533 |        |
|                Min cumulative merge time across primary shards |                                          |     271.273 |    min |
|             Median cumulative merge time across primary shards |                                          |     271.273 |    min |
|                Max cumulative merge time across primary shards |                                          |     271.273 |    min |
|               Cumulative merge throttle time of primary shards |                                          |     166.381 |    min |
|       Min cumulative merge throttle time across primary shards |                                          |     166.381 |    min |
|    Median cumulative merge throttle time across primary shards |                                          |     166.381 |    min |
|       Max cumulative merge throttle time across primary shards |                                          |     166.381 |    min |
|                      Cumulative refresh time of primary shards |                                          |     7.84047 |    min |
|                     Cumulative refresh count of primary shards |                                          |         393 |        |
|              Min cumulative refresh time across primary shards |                                          |     7.84047 |    min |
|           Median cumulative refresh time across primary shards |                                          |     7.84047 |    min |
|              Max cumulative refresh time across primary shards |                                          |     7.84047 |    min |
|                        Cumulative flush time of primary shards |                                          |     1.26925 |    min |
|                       Cumulative flush count of primary shards |                                          |          37 |        |
|                Min cumulative flush time across primary shards |                                          |     1.26925 |    min |
