|                                                         Metric |                                     Task |       Value |   Unit |
|---------------------------------------------------------------:|-----------------------------------------:|------------:|-------:|
|                     Cumulative indexing time of primary shards |                                          |     122.083 |    min |
|             Min cumulative indexing time across primary shards |                                          |     122.083 |    min |
|          Median cumulative indexing time across primary shards |                                          |     122.083 |    min |
|             Max cumulative indexing time across primary shards |                                          |     122.083 |    min |
|            Cumulative indexing throttle time of primary shards |                                          |           0 |    min |
|    Min cumulative indexing throttle time across primary shards |                                          |           0 |    min |
| Median cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|    Max cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|                        Cumulative merge time of primary shards |                                          |     9.03042 |    min |
|                       Cumulative merge count of primary shards |                                          |          39 |        |
|                Min cumulative merge time across primary shards |                                          |     9.03042 |    min |
|             Median cumulative merge time across primary shards |                                          |     9.03042 |    min |
|                Max cumulative merge time across primary shards |                                          |     9.03042 |    min |
|               Cumulative merge throttle time of primary shards |                                          |     5.32878 |    min |
|       Min cumulative merge throttle time across primary shards |                                          |     5.32878 |    min |
|    Median cumulative merge throttle time across primary shards |                                          |     5.32878 |    min |
|       Max cumulative merge throttle time across primary shards |                                          |     5.32878 |    min |
|                      Cumulative refresh time of primary shards |                                          |      0.5847 |    min |
|                     Cumulative refresh count of primary shards |                                          |          46 |        |
|              Min cumulative refresh time across primary shards |                                          |      0.5847 |    min |
|           Median cumulative refresh time across primary shards |                                          |      0.5847 |    min |
|              Max cumulative refresh time across primary shards |                                          |      0.5847 |    min |
|                        Cumulative flush time of primary shards |                                          |   0.0895833 |    min |
|                       Cumulative flush count of primary shards |                                          |           3 |        |
|                Min cumulative flush time across primary shards |                                          |   0.0895833 |    min |
|             Median cumulative flush time across primary shards |                                          |   0.0895833 |    min |
|                Max cumulative flush time across primary shards |                                          |   0.0895833 |    min |
|                                        Total Young Gen GC time |                                          |     138.013 |      s |
|                                       Total Young Gen GC count |                                          |      123683 |        |
|                                          Total Old Gen GC time |                                          |      34.581 |      s |
|                                         Total Old Gen GC count |                                          |         616 |        |
|                                                     Store size |                                          |     1.62925 |     GB |
|                                                  Translog size |                                          | 5.12227e-08 |     GB |
|                                         Heap used for segments |                                          |           0 |     MB |
|                                       Heap used for doc values |                                          |           0 |     MB |
|                                            Heap used for terms |                                          |           0 |     MB |
|                                            Heap used for norms |                                          |           0 |     MB |
|                                           Heap used for points |                                          |           0 |     MB |
