    _______             __   _____
   / ____(_)___  ____ _/ /  / ___/_________  ________
  / /_  / / __ \/ __ `/ /   \__ \/ ___/ __ \/ ___/ _ \
 / __/ / / / / / /_/ / /   ___/ / /__/ /_/ / /  /  __/
/_/   /_/_/ /_/\__,_/_/   /____/\___/\____/_/   \___/
------------------------------------------------------
            [0m
|                                                         Metric |                                     Task |       Value |   Unit |
|---------------------------------------------------------------:|-----------------------------------------:|------------:|-------:|
|                     Cumulative indexing time of primary shards |                                          |     2771.13 |    min |
|             Min cumulative indexing time across primary shards |                                          |     2771.13 |    min |
|          Median cumulative indexing time across primary shards |                                          |     2771.13 |    min |
|             Max cumulative indexing time across primary shards |                                          |     2771.13 |    min |
|            Cumulative indexing throttle time of primary shards |                                          |           0 |    min |
|    Min cumulative indexing throttle time across primary shards |                                          |           0 |    min |
| Median cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|    Max cumulative indexing throttle time across primary shards |                                          |           0 |    min |
|                        Cumulative merge time of primary shards |                                          |     278.116 |    min |
|                       Cumulative merge count of primary shards |                                          |         512 |        |
|                Min cumulative merge time across primary shards |                                          |     278.116 |    min |
|             Median cumulative merge time across primary shards |                                          |     278.116 |    min |
|                Max cumulative merge time across primary shards |                                          |     278.116 |    min |
|               Cumulative merge throttle time of primary shards |                                          |     146.478 |    min |
|       Min cumulative merge throttle time across primary shards |                                          |     146.478 |    min |
|    Median cumulative merge throttle time across primary shards |                                          |     146.478 |    min |
|       Max cumulative merge throttle time across primary shards |                                          |     146.478 |    min |
|                      Cumulative refresh time of primary shards |                                          |     8.10345 |    min |
|                     Cumulative refresh count of primary shards |                                          |         381 |        |
|              Min cumulative refresh time across primary shards |                                          |     8.10345 |    min |
|           Median cumulative refresh time across primary shards |                                          |     8.10345 |    min |
|              Max cumulative refresh time across primary shards |                                          |     8.10345 |    min |
|                        Cumulative flush time of primary shards |                                          |     1.36867 |    min |
|                       Cumulative flush count of primary shards |                                          |          34 |        |
|                Min cumulative flush time across primary shards |                                          |     1.36867 |    min |
|             Median cumulative flush time across primary shards |                                          |     1.36867 |    min |
|                Max cumulative flush time across primary shards |                                          |     1.36867 |    min |
|                                        Total Young Gen GC time |                                          |     275.426 |      s |
|                                       Total Young Gen GC count |                                          |       11283 |        |
|                                          Total Old Gen GC time |                                          |           0 |      s |
